P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12.1,P12.2,P12.3,P12.4,P12.5,P12.6,P12.7,P12.8,P12.9,P13,P14,P15,P16,P17.1,P17.2,P17.3,P17.4,P17.5,P17.6,P18,P19,P20.1,P20.2,P20.3,P20.4,P20.5,P20.6,P20.7,P21.1,P21.2,P21.3,P22.1,P22.2,P22.3,P23,P24.1,P24.2,P24.3,P24.4,P24.5,P24.6,P12.I,P17.I,P20.I,P22.I,P24.I
Hombre,Española,Entre 35 y 44 años,Educación Primaria,Altabix,En paro,Resto sector servicios,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Poca,Moderada o mucha,Poca,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Más,Ha disminuido,Sí,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,8,6,7,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,No,Sí,No,Sí,4,6,6,2,3
Mujer,Española,De 65 en adelante,Bachillerato,Ciutat Vella,Jubilado/Pensionista,Calzado,Nunca he cotizado,En general responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,Poca,Poca,NS-NC,NS-NC,Poca,Ninguna,Ninguna,Poca,NS-NC,Menos,Ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,No,Sí,Sí,Lo que diga la ley,Sí,No,Sí,Sí,Sí,Sí,No,Sí,0,3,6,De acuerdo,De acuerdo,De acuerdo,Quizás,Sí,Sí,Sí,Sí,Sí,No,4,5,5,3,5
Mujer,Española,De 65 en adelante,Título Universitario,El Pla,Jubilado/Pensionista,Educación,31 o más años cotizados,En general responsables,Muy responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Poca,Igual,Ha aumentado,Sí,Empresario,No,Sí,Sí,No,No,Sí,Ns/Nc,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,15,3,6,3,5
Mujer,Española,Entre 45 y 54 años,Formación Profesional,Altabix,Trabajador autónomo,Hostelería-Turismo,Entre 21 y 30 años cotizados,En general responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Poca,Ninguna,Poca,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Más,Ni ha disminuido ni ha aumentado,Sí,Trabajador y empresario,Sí,Sí,Sí,No,Sí,Sí,Otro,Sí,No,Sí,No,No,Sí,No,No,6,3,7,De acuerdo,En desacuerdo,De acuerdo,Sí,No,Sí,Sí,No,Sí,No,12,5,2,2,3
Mujer,Española,De 65 en adelante,Formación Profesional,Ciutat Vella,Jubilado/Pensionista,Sanidad,31 o más años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,NS-NC,Poca,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Más,Ha aumentado,Sí,Trabajador y empresario,Sí,No,Sí,Sí,Sí,Sí,Otro,Sí,No,Sí,Sí,No,Sí,No,Sí,0,1,4,En desacuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,11,5,4,1,5
Mujer,Española,Entre 45 y 54 años,Educación Primaria,Ciutat Vella,Trabajador por cuenta ajena,Calzado,Nunca he cotizado,Muy responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,NS-NC,NS-NC,Poca,NS-NC,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,NS-NC,Ni ha disminuido ni ha aumentado,Sí,Otro,Sí,Sí,Sí,No,No,Sí,Nada,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,2,0,1,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,7,4,6,3,5
Hombre,Española,De 65 en adelante,Bachillerato,Ciutat Vella,Jubilado/Pensionista,Otro,31 o más años cotizados,En general responsables,Muy responsables,Poco frecuentes: 1 persona de cada 4,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Poca,Poca,NS-NC,Poca,NS-NC,Ni ha disminuido ni ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Otro,NS-NC,No,Sí,Sí,Sí,Sí,No,No,0,0,0,De acuerdo,De acuerdo,En desacuerdo,Sí,No,No,No,No,Sí,Sí,3,6,4,2,1
Mujer,Española,Entre 55 y 64 años,Educación Primaria,El Pla,Ama/o de casa,Calzado,Entre 10 y 20 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,Ninguna,Poca,Moderada o mucha,Poca,NS-NC,NS-NC,NS-NC,Ha aumentado,Sí,Otro,No,Sí,Sí,No,No,Sí,Ns/Nc,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,0,0,0,En desacuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,No,9,3,6,1,4
Hombre,Española,Entre 25 y 34 años,Título Universitario,Ciutat Vella,En paro,Estudiando,Nunca he cotizado,En general responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,NS-NC,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,NS-NC,Poca,Poca,Poca,Igual,Ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,Sí,Sí,Sí,Sí,3,1,1,En desacuerdo,De acuerdo,En desacuerdo,Sí,No,No,Sí,Sí,No,Sí,10,6,5,1,2
Hombre,Española,Entre 35 y 44 años,Título Universitario,Carrús,En paro,Educación,Menos de 10 años cotizados,En general responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Poca,Igual,Ha aumentado,Sí,Trabajador y empresario,Sí,Sí,Sí,No,No,Sí,Otro,Sí,No,No,No,No,Sí,No,Sí,3,3,0,De acuerdo,De acuerdo,En desacuerdo,Sí,No,No,Sí,Sí,No,No,16,4,2,2,2
Mujer,Española,De 65 en adelante,Sin estudios,Altabix,Jubilado/Pensionista,Otro,31 o más años cotizados,En general responsables,Poco responsables,Poco frecuentes: 1 persona de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,NS-NC,Ni ha disminuido ni ha aumentado,Sí,NS-NC,Sí,Sí,Sí,No,No,Sí,Nada,NS-NC,Sí,Sí,Sí,Sí,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,No,Sí,Sí,Sí,Sí,Sí,No,14,4,6,3,5
Hombre,Española,Entre 55 y 64 años,Educación secundaria,Campo Elche,En paro,Calzado,Menos de 10 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Más,Ha aumentado,Sí,Trabajador y empresario,Sí,Sí,Sí,No,No,Sí,Otro,No,No,Sí,Sí,No,Sí,No,Sí,5,0,7,En desacuerdo,De acuerdo,En desacuerdo,Sí,No,No,Sí,Sí,Sí,Sí,16,4,4,1,3
Hombre,Española,De 65 en adelante,Título Universitario,El Pla,Jubilado/Pensionista,Educación,31 o más años cotizados,En general responsables,Muy poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Poca,Poca,Moderada o mucha,Igual,Ha aumentado,Sí,Otro,Sí,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,No,Sí,No,Sí,0,0,0,De acuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,No,15,4,5,2,4
Mujer,Española,Entre 25 y 34 años,Educación secundaria,El Pla,Trabajador por cuenta ajena,Hostelería-Turismo,Menos de 10 años cotizados,Poco responsables,Muy poco responsables,Frecuentes: 2 personas de cada 4,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,NS-NC,Moderada o mucha,NS-NC,Menos,Ha disminuido,Sí,Empresario,Sí,Sí,Sí,No,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,8,9,5,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,No,No,Sí,11,5,6,3,3
Mujer,Española,De 65 en adelante,Sin estudios,Carrús,Jubilado/Pensionista,Construcción,31 o más años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,NS-NC,NS-NC,Moderada o mucha,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Igual,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,Sí,Sí,Lo que diga la ley,Sí,No,No,No,No,Sí,No,Sí,7,5,6,De acuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,2,5,2,2,5
Mujer,Española,De 65 en adelante,Educación secundaria,El Pla,Jubilado/Pensionista,Otro,31 o más años cotizados,En general responsables,Muy responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Más,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,No,Sí,Ns/Nc,Sí,No,No,Sí,Sí,Sí,No,Sí,3,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,12,5,4,3,5
Mujer,Española,De 65 en adelante,Sin estudios,El Pla,Jubilado/Pensionista,Resto sector servicios,Nunca he cotizado,En general responsables,Muy responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Poca,Ninguna,NS-NC,Poca,NS-NC,Igual,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Ns/Nc,Sí,Sí,No,No,No,Sí,No,Sí,1,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,No,8,4,3,3,4
Mujer,Española,Entre 45 y 54 años,Educación secundaria,El Pla,Trabajador autónomo,Resto sector servicios,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,NS-NC,NS-NC,Ha disminuido,No,A nadie (a largo plazo),Sí,Sí,Sí,No,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,Sí,Sí,No,Sí,0,3,0,En desacuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,14,5,4,1,5
Mujer,Española,Entre 25 y 34 años,Título Universitario,Carrús,En paro,Hostelería-Turismo,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Igual,Ha aumentado,No,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Otro,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,1,1,1,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,14,6,6,3,5
Mujer,Española,Entre 45 y 54 años,Educación Primaria,Ciutat Vella,En paro,Servicio doméstico,Menos de 10 años cotizados,En general responsables,Poco responsables,Frecuentes: 2 personas de cada 4,Poca,Poca,Moderada o mucha,Ninguna,Ninguna,Moderada o mucha,Poca,Poca,Moderada o mucha,Más,Ha aumentado,No,Empresario,Sí,Sí,Sí,No,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,5,5,2,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,10,5,7,3,5
Hombre,Española,Entre 35 y 44 años,Educación Primaria,Altabix,Trabajador por cuenta ajena,Resto sector servicios,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Igual,Ha disminuido,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,Sí,No,No,Sí,No,Sí,1,0,3,En desacuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,No,No,14,6,3,1,4
Hombre,Española,Entre 45 y 54 años,Educación secundaria,Carrús,Trabajador por cuenta ajena,Resto sector servicios,31 o más años cotizados,En general responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Igual,Ha disminuido,Sí,Empresario,Sí,No,Sí,Sí,Sí,Sí,Otro,Sí,No,Sí,Sí,No,Sí,Sí,Sí,0,3,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,No,Sí,No,Sí,No,0,5,5,3,3
Mujer,Española,Entre 35 y 44 años,Bachillerato,Carrús,Trabajador por cuenta ajena,Resto sector servicios,Entre 21 y 30 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,NS-NC,Poca,Poca,Moderada o mucha,Poca,Poca,Ninguna,NS-NC,Igual,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Nada,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,6,0,9,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,Sí,8,4,7,3,5
Mujer,Española,Entre 45 y 54 años,Título Universitario,Campo Elche,Jubilado/Pensionista,Resto sector servicios,31 o más años cotizados,Poco responsables,En general responsables,Frecuentes: 2 personas de cada 4,NS-NC,NS-NC,NS-NC,NS-NC,NS-NC,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Igual,Ha disminuido,Sí,Empresario,Sí,Sí,Sí,No,Sí,Sí,Otro,Sí,No,No,No,No,No,No,No,1,0,0,En desacuerdo,De acuerdo,En desacuerdo,Sí,No,No,Sí,No,Sí,No,4,5,0,1,2
Hombre,Española,Entre 55 y 64 años,Bachillerato,Ciutat Vella,Trabajador por cuenta ajena,Resto sector servicios,31 o más años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Poca,Ninguna,Moderada o mucha,Poca,Moderada o mucha,Ninguna,NS-NC,Más,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Nada,Sí,Sí,No,Sí,Sí,Sí,No,Sí,0,0,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,9,4,5,3,5
Mujer,Española,Entre 55 y 64 años,Educación Primaria,Carrús,En paro,Otro,Menos de 10 años cotizados,Poco responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,NS-NC,Moderada o mucha,Poca,Poca,Poca,Poca,Ninguna,Poca,NS-NC,Menos,Ha disminuido,Sí,Empresario,Sí,No,Sí,Sí,Sí,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,9,9,9,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,7,5,7,2,5
Hombre,Española,De 65 en adelante,Educación secundaria,Carrús,Jubilado/Pensionista,Calzado,31 o más años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Más,Ha aumentado,No,Empresario,Sí,Sí,Sí,No,No,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,5,4,4,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,14,4,6,2,5
Mujer,Española,Entre 45 y 54 años,Educación secundaria,Carrús,Jubilado/Pensionista,Calzado,Menos de 10 años cotizados,Poco responsables,Poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Moderada o mucha,Poca,Poca,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Más,Ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,No,Sí,No,Otro,Sí,No,Sí,Sí,Sí,Sí,No,Sí,5,3,5,En desacuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,No,No,Sí,Sí,14,4,5,1,3
Hombre,Española,De 65 en adelante,Educación Primaria,Ciutat Vella,Jubilado/Pensionista,Calzado,31 o más años cotizados,En general responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,Moderada o mucha,Poca,Poca,NS-NC,Poca,Poca,Poca,Poca,Poca,Igual,Ha disminuido,No,A nadie (a largo plazo),Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,No,Sí,Sí,No,Sí,0,5,2,De acuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,No,Sí,9,6,3,2,4
Mujer,Española,Entre 45 y 54 años,Título Universitario,El Pla,En paro,Educación,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Más,Ha aumentado,Sí,Empresario,Sí,No,Sí,No,No,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,4,4,5,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,No,Sí,Sí,15,3,6,2,4
Mujer,Española,Entre 25 y 34 años,Título Universitario,Ciutat Vella,Otro,Sanidad,Menos de 10 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Poca,Menos,Ha disminuido,Sí,Empresario,Sí,No,Sí,No,No,Sí,Nada,Sí,No,Sí,Sí,No,Sí,No,Sí,0,5,0,En desacuerdo,En desacuerdo,De acuerdo,Sí,Sí,No,No,Sí,Sí,Sí,13,3,4,1,3
Hombre,Española,Entre 45 y 54 años,Sin estudios,Altabix,En paro,Otro,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Ninguna,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,Moderada o mucha,Más,Ha aumentado,NS-NC,Empresario,Sí,No,Sí,No,Sí,Sí,Nada,Sí,No,No,Sí,No,Sí,No,Sí,5,9,6,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,12,4,3,3,5
Hombre,Española,Entre 55 y 64 años,Educación Primaria,Campo Elche,Trabajador autónomo,Otro,31 o más años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Ninguna,Moderada o mucha,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,Igual,Ni ha disminuido ni ha aumentado,Sí,Trabajador y empresario,Sí,Sí,Sí,No,No,Sí,Lo que diga la ley,Sí,No,No,Sí,Sí,Sí,No,Sí,0,0,0,En desacuerdo,De acuerdo,De acuerdo,No,No,Sí,Sí,Sí,Sí,Sí,12,4,4,2,4
Mujer,Extranjera,Entre 45 y 54 años,Educación Primaria,El Pla,Trabajador autónomo,Resto sector servicios,Entre 21 y 30 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Poca,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Igual,Ha disminuido,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Nada,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,3,8,6,De acuerdo,De acuerdo,De acuerdo,Sí,No,No,Sí,Sí,Sí,No,16,4,6,3,3
Hombre,Española,De 65 en adelante,Educación Primaria,El Pla,Jubilado/Pensionista,Otro,31 o más años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,NS-NC,NS-NC,NS-NC,Moderada o mucha,Poca,Poca,NS-NC,Poca,NS-NC,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,Sí,No,Sí,Sí,Sí,Otro,Sí,No,No,Sí,No,Sí,No,Sí,0,0,0,De acuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,No,No,7,5,3,2,4
Hombre,Española,Entre 45 y 54 años,Formación Profesional,Altabix,En paro,Otro,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Ninguna,Poca,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Igual,Ni ha disminuido ni ha aumentado,Sí,Empresario,Sí,No,Sí,Sí,No,Sí,Nada,Sí,No,No,Sí,No,Sí,No,Sí,9,9,10,En desacuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,14,4,3,1,5
Hombre,Española,Entre 25 y 34 años,Título Universitario,Carrús,Otro,Sanidad,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Poca,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Más,Ha aumentado,Sí,Trabajador,Sí,Sí,No,Sí,No,No,Nada,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,6,5,7,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,13,3,7,3,5
Hombre,Española,De 65 en adelante,Sin estudios,El Pla,Jubilado/Pensionista,Otro,Entre 21 y 30 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Más,Ha aumentado,Sí,Trabajador y empresario,Sí,No,Sí,No,No,Sí,Otro,Sí,Sí,No,Sí,Sí,Sí,No,Sí,6,8,0,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,No,16,3,5,3,4
Mujer,Española,Entre 55 y 64 años,Educación secundaria,Torrellano,En paro,Servicio doméstico,Menos de 10 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,7,5,7,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,12,6,6,3,5
Mujer,Española,Entre 45 y 54 años,Formación Profesional,Carrús,Otro,Resto sector servicios,Menos de 10 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,NS-NC,NS-NC,Moderada o mucha,Moderada o mucha,Igual,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,No,Ns/Nc,No,Sí,Sí,Sí,No,Sí,No,No,5,8,6,De acuerdo,De acuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,12,3,4,2,5
Mujer,Extranjera,Entre 25 y 34 años,Bachillerato,Carrús,En paro,Servicio doméstico,Menos de 10 años cotizados,En general responsables,Poco responsables,Frecuentes: 2 personas de cada 4,Poca,Moderada o mucha,Ninguna,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Igual,Ni ha disminuido ni ha aumentado,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,9,7,6,En desacuerdo,De acuerdo,De acuerdo,Sí,No,Sí,Sí,Sí,Sí,No,15,6,6,2,4
Hombre,Española,Entre 45 y 54 años,Bachillerato,Altabix,Trabajador autónomo,Resto sector servicios,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Poca,Poca,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Igual,Ni ha disminuido ni ha aumentado,NS-NC,Otro,Sí,Sí,Sí,NS-NC,No,Sí,Nada,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,9,0,0,En desacuerdo,De acuerdo,De acuerdo,Quizás,Sí,Sí,Sí,Sí,Sí,No,14,4,6,2,5
Mujer,Española,Entre 55 y 64 años,Bachillerato,El Pla,Ama/o de casa,Resto sector servicios,Entre 10 y 20 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,NS-NC,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Ninguna,Moderada o mucha,Más,Ni ha disminuido ni ha aumentado,Sí,A nadie (a largo plazo),Sí,Sí,Sí,No,Sí,Sí,Otro,Sí,No,No,No,No,Sí,No,Sí,4,2,1,De acuerdo,De acuerdo,De acuerdo,Sí,No,No,Sí,Sí,No,No,13,5,2,3,2
Hombre,Española,Entre 45 y 54 años,Título Universitario,Torrellano,Trabajador por cuenta ajena,Administración pública,Entre 10 y 20 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Poca,Poca,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,Sí,No,Sí,No,Sí,0,0,0,En desacuerdo,En desacuerdo,De acuerdo,Sí,Sí,Sí,No,No,No,No,15,6,3,1,2
Hombre,Española,Entre 35 y 44 años,Título Universitario,Altabix,Trabajador por cuenta ajena,Educación,Entre 10 y 20 años cotizados,Poco responsables,Muy poco responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Más,Ha disminuido,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,No,No,No,No,Sí,No,Sí,5,2,1,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,No,Sí,Sí,No,17,6,2,2,4
